Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Cluster
1,2023-11-24,CUST001,1,34,0,3,50,2
2,2023-02-27,CUST002,0,26,1,2,500,4
3,2023-01-13,CUST003,1,50,2,1,30,5
4,2023-05-21,CUST004,1,37,1,1,500,4
5,2023-05-06,CUST005,1,30,0,2,50,0
6,2023-04-25,CUST006,0,45,0,1,30,5
7,2023-03-13,CUST007,1,46,1,2,25,5
8,2023-02-22,CUST008,1,30,2,4,25,2
9,2023-12-13,CUST009,1,63,2,2,300,3
10,2023-10-07,CUST010,0,52,1,4,50,7
11,2023-02-14,CUST011,1,23,1,2,50,0
12,2023-10-30,CUST012,1,35,0,3,25,2
13,2023-08-05,CUST013,1,22,2,3,500,6
14,2023-01-17,CUST014,1,64,1,4,30,7
15,2023-01-16,CUST015,0,42,2,4,500,1
16,2023-02-17,CUST016,1,19,1,3,500,6
17,2023-04-22,CUST017,0,27,1,4,25,2
18,2023-04-30,CUST018,0,47,2,2,25,5
19,2023-09-16,CUST019,0,62,1,2,25,5
20,2023-11-05,CUST020,1,22,1,3,300,6
21,2023-01-14,CUST021,0,50,0,1,500,3
22,2023-10-15,CUST022,1,18,1,2,50,0
23,2023-04-12,CUST023,0,35,1,4,30,2
24,2023-11-29,CUST024,0,49,1,1,300,3
25,2023-12-26,CUST025,0,64,0,1,50,5
26,2023-10-07,CUST026,0,28,2,2,500,4
27,2023-08-03,CUST027,0,38,0,2,25,0
28,2023-04-23,CUST028,0,43,0,1,500,3
29,2023-08-18,CUST029,0,42,2,1,30,5
30,2023-10-29,CUST030,0,39,0,3,300,6
31,2023-05-23,CUST031,1,44,2,4,300,1
32,2023-01-04,CUST032,1,30,0,3,30,2
33,2023-03-23,CUST033,0,50,2,2,50,5
34,2023-12-24,CUST034,0,51,1,3,50,7
35,2023-08-05,CUST035,0,58,0,3,300,1
36,2023-06-24,CUST036,1,52,0,3,300,1
37,2023-05-23,CUST037,0,18,0,3,25,2
38,2023-03-21,CUST038,1,38,0,4,50,2
39,2023-04-21,CUST039,1,23,1,4,30,2
40,2023-06-22,CUST040,1,45,0,1,50,5
41,2023-02-22,CUST041,1,34,1,2,25,0
42,2023-02-17,CUST042,1,22,1,3,300,6
43,2023-07-14,CUST043,0,48,1,1,300,3
44,2023-02-19,CUST044,0,22,1,1,25,0
45,2023-07-03,CUST045,0,55,2,1,30,5
46,2023-06-26,CUST046,0,20,2,4,300,6
47,2023-11-06,CUST047,0,40,0,3,500,1
48,2023-05-16,CUST048,1,54,2,3,300,1
49,2023-01-23,CUST049,0,54,2,2,500,3
50,2023-08-24,CUST050,0,27,0,3,25,2
51,2023-10-02,CUST051,1,27,0,3,25,2
52,2023-03-05,CUST052,0,36,0,1,300,4
53,2023-07-13,CUST053,1,34,2,2,50,0
54,2023-02-10,CUST054,0,38,2,3,500,6
55,2023-10-10,CUST055,1,31,0,4,30,2
56,2023-05-31,CUST056,0,26,1,3,300,6
57,2023-11-18,CUST057,0,63,0,1,30,5
58,2023-11-13,CUST058,1,18,1,4,300,6
59,2023-07-05,CUST059,1,62,1,1,50,5
60,2023-10-23,CUST060,1,30,0,3,50,2
61,2023-04-09,CUST061,1,21,0,4,50,2
62,2023-12-27,CUST062,1,18,0,2,50,0
63,2023-02-05,CUST063,1,57,2,2,25,5
64,2023-01-24,CUST064,1,49,1,4,25,7
65,2023-12-05,CUST065,1,51,2,4,500,1
66,2023-04-27,CUST066,0,45,2,1,30,5
67,2023-05-29,CUST067,0,48,0,4,300,1
68,2023-02-10,CUST068,1,25,2,1,300,4
69,2023-04-30,CUST069,0,56,0,3,25,7
70,2023-02-21,CUST070,0,43,1,1,300,3
71,2023-07-14,CUST071,0,51,0,4,25,7
72,2023-05-23,CUST072,0,20,2,4,500,6
73,2023-08-21,CUST073,1,29,2,3,30,2
74,2023-11-22,CUST074,0,18,0,4,500,6
75,2023-07-06,CUST075,1,61,0,4,50,7
76,2023-03-25,CUST076,0,22,2,2,50,0
77,2023-07-09,CUST077,0,47,1,2,50,5
78,2023-07-01,CUST078,0,47,1,3,500,1
79,2023-04-18,CUST079,1,34,0,1,300,4
80,2023-12-10,CUST080,0,64,1,2,30,5
81,2023-05-17,CUST081,1,40,2,1,50,0
82,2023-12-26,CUST082,0,32,0,4,50,2
83,2023-12-16,CUST083,1,54,2,2,50,5
84,2023-11-28,CUST084,0,38,2,3,30,2
85,2023-02-06,CUST085,1,31,1,3,50,2
86,2023-11-08,CUST086,1,19,0,3,30,2
87,2023-11-22,CUST087,0,28,0,2,50,0
88,2023-03-29,CUST088,1,56,1,1,500,3
89,2023-10-01,CUST089,0,55,2,4,500,1
90,2023-05-06,CUST090,0,51,2,1,30,5
91,2023-03-25,CUST091,0,55,2,1,500,3
92,2023-08-25,CUST092,0,51,2,4,30,7
93,2023-07-14,CUST093,0,35,0,4,500,6
94,2023-05-19,CUST094,0,47,0,2,500,3
95,2023-11-24,CUST095,0,32,1,2,30,0
96,2023-12-19,CUST096,0,44,1,2,300,3
97,2023-10-13,CUST097,0,51,0,2,500,3
98,2023-04-23,CUST098,0,55,0,2,50,5
99,2023-12-17,CUST099,0,50,2,4,300,1
100,2023-06-16,CUST100,1,41,2,1,30,0
101,2023-01-29,CUST101,1,32,1,2,300,4
102,2023-04-28,CUST102,0,47,0,2,25,5
103,2023-01-17,CUST103,0,59,1,1,25,5
104,2023-06-11,CUST104,0,34,0,2,500,4
105,2023-07-25,CUST105,0,22,2,1,500,4
106,2023-05-18,CUST106,0,46,1,1,50,5
107,2023-02-03,CUST107,0,21,1,4,300,6
108,2023-04-19,CUST108,0,27,0,3,25,2
109,2023-10-18,CUST109,0,34,2,4,500,6
110,2023-06-11,CUST110,1,27,1,3,300,6
111,2023-04-19,CUST111,0,34,2,3,500,6
112,2023-12-02,CUST112,1,37,1,3,500,6
113,2023-09-13,CUST113,0,41,2,2,25,0
114,2023-07-22,CUST114,0,22,0,4,25,2
115,2023-11-26,CUST115,1,51,1,3,500,1
116,2023-08-23,CUST116,0,23,1,1,30,0
117,2023-03-15,CUST117,1,19,2,2,500,4
118,2023-05-16,CUST118,0,30,2,4,500,6
119,2023-03-13,CUST119,0,60,1,3,50,7
120,2023-05-07,CUST120,1,60,0,1,50,5
121,2023-10-15,CUST121,0,28,2,4,50,2
122,2023-10-03,CUST122,1,64,2,4,30,7
123,2023-05-15,CUST123,0,40,2,2,30,0
124,2023-10-27,CUST124,1,33,1,4,500,6
125,2023-08-08,CUST125,1,48,1,2,50,5
126,2023-10-26,CUST126,0,28,1,3,30,2
127,2023-07-24,CUST127,0,33,1,2,25,0
128,2023-07-05,CUST128,1,25,0,1,500,4
129,2023-04-23,CUST129,0,21,0,2,300,4
130,2023-03-12,CUST130,0,57,1,1,500,3
131,2023-09-18,CUST131,0,21,0,2,300,4
132,2023-09-10,CUST132,1,42,2,4,50,7
133,2023-02-16,CUST133,1,20,2,3,300,6
134,2023-01-25,CUST134,1,49,2,1,50,5
135,2023-02-26,CUST135,1,20,1,2,25,0
136,2023-03-20,CUST136,1,44,2,2,300,3
137,2023-11-18,CUST137,1,46,0,2,500,3
138,2023-03-23,CUST138,1,49,1,4,50,7
139,2023-12-15,CUST139,1,36,0,4,500,6
140,2023-08-05,CUST140,1,38,2,1,30,0
141,2023-11-02,CUST141,0,22,2,1,50,0
142,2023-02-02,CUST142,1,35,2,4,300,6
143,2023-07-17,CUST143,0,45,1,1,50,5
144,2023-07-15,CUST144,0,59,0,3,500,1
145,2023-11-02,CUST145,0,39,1,3,25,2
146,2023-08-28,CUST146,1,38,1,4,50,2
147,2023-09-28,CUST147,1,23,2,1,300,4
148,2023-05-09,CUST148,1,18,1,2,30,0
149,2023-10-11,CUST149,1,22,1,3,25,2
150,2023-01-06,CUST150,0,58,2,4,30,7
151,2023-12-15,CUST151,1,29,1,1,50,0
152,2023-02-28,CUST152,1,43,2,4,500,1
153,2023-12-16,CUST153,1,63,2,2,500,3
154,2023-10-02,CUST154,1,51,2,3,300,1
155,2023-05-17,CUST155,1,31,2,4,500,6
156,2023-11-25,CUST156,0,43,1,4,25,7
157,2023-06-24,CUST157,1,62,2,4,500,1
158,2023-02-27,CUST158,0,44,2,2,300,3
159,2023-05-31,CUST159,1,26,1,4,50,2
160,2023-08-11,CUST160,0,43,1,2,50,5
161,2023-03-22,CUST161,1,64,0,2,500,3
162,2023-08-21,CUST162,1,39,1,2,30,0
163,2023-01-02,CUST163,0,64,1,3,50,7
164,2023-05-15,CUST164,0,47,0,3,500,1
165,2023-09-14,CUST165,0,60,1,4,300,1
166,2023-04-02,CUST166,1,34,1,4,500,6
167,2023-09-17,CUST167,0,43,1,3,50,7
168,2023-02-24,CUST168,1,53,1,1,300,3
169,2023-11-17,CUST169,1,18,0,3,500,6
170,2023-06-02,CUST170,0,25,1,2,25,0
171,2023-11-24,CUST171,0,52,1,3,300,1
172,2023-09-17,CUST172,1,32,0,2,25,0
173,2023-11-08,CUST173,1,64,2,4,30,7
174,2023-04-12,CUST174,0,39,0,1,300,4
175,2023-03-20,CUST175,0,31,2,4,25,2
176,2023-07-11,CUST176,0,43,0,2,50,5
177,2023-03-24,CUST177,1,45,0,2,50,5
178,2023-10-04,CUST178,1,40,1,2,30,0
179,2023-09-29,CUST179,1,31,2,1,300,4
180,2023-01-01,CUST180,1,41,1,3,300,1
181,2023-11-03,CUST181,1,19,2,4,300,6
182,2023-06-15,CUST182,1,62,0,4,30,7
183,2023-09-08,CUST183,0,43,0,3,300,1
184,2023-01-10,CUST184,1,31,2,4,50,2
185,2023-02-27,CUST185,1,24,1,1,25,0
186,2023-07-05,CUST186,1,20,1,4,50,2
187,2023-06-07,CUST187,0,64,1,2,50,5
188,2023-05-03,CUST188,1,40,1,3,25,2
189,2023-01-30,CUST189,1,63,0,1,50,5
190,2023-05-04,CUST190,0,60,0,3,30,7
191,2023-10-18,CUST191,1,64,0,1,25,5
192,2023-02-10,CUST192,1,62,0,2,50,5
193,2023-02-13,CUST193,1,35,0,3,500,6
194,2023-09-06,CUST194,1,55,1,4,50,7
195,2023-02-05,CUST195,1,52,1,1,30,5
196,2023-09-30,CUST196,0,32,1,3,300,6
197,2023-03-06,CUST197,0,42,1,4,50,7
198,2023-03-07,CUST198,0,54,0,3,300,1
199,2023-12-04,CUST199,1,45,0,3,500,1
200,2023-09-01,CUST200,1,27,0,3,50,2
201,2023-10-09,CUST201,1,56,2,1,25,5
202,2023-03-26,CUST202,0,34,1,4,300,6
203,2023-05-16,CUST203,1,56,1,2,500,3
204,2023-09-28,CUST204,1,39,0,1,25,0
205,2023-11-07,CUST205,0,43,1,1,25,5
206,2023-08-05,CUST206,1,61,1,1,25,5
207,2023-04-19,CUST207,0,42,0,2,25,5
208,2023-10-04,CUST208,0,34,2,4,50,2
209,2023-12-20,CUST209,0,30,2,4,50,2
210,2023-04-13,CUST210,1,37,2,4,50,2
211,2024-01-01,CUST211,1,42,0,3,500,1
212,2023-06-09,CUST212,1,21,1,3,500,6
213,2023-07-24,CUST213,1,27,0,3,500,6
214,2023-12-10,CUST214,1,20,0,2,30,0
215,2023-11-29,CUST215,1,58,1,3,500,1
216,2023-07-11,CUST216,1,62,2,2,50,5
217,2023-08-13,CUST217,0,35,2,4,50,2
218,2023-09-22,CUST218,1,64,0,3,30,7
219,2023-08-20,CUST219,0,53,2,3,30,7
220,2023-03-03,CUST220,1,64,0,1,500,3
221,2023-05-07,CUST221,1,39,0,2,300,4
222,2023-04-26,CUST222,1,51,1,4,30,7
223,2023-02-02,CUST223,0,64,1,1,25,5
224,2023-06-23,CUST224,0,25,1,1,50,0
225,2023-01-11,CUST225,0,57,0,4,25,7
226,2023-10-29,CUST226,0,61,1,1,50,5
227,2023-10-11,CUST227,1,36,2,2,50,0
228,2023-04-28,CUST228,0,59,2,2,30,5
229,2023-10-29,CUST229,1,58,0,3,30,7
230,2023-04-23,CUST230,1,54,0,1,25,5
231,2023-01-04,CUST231,0,23,1,3,50,2
232,2023-02-06,CUST232,0,43,0,1,25,5
233,2023-12-29,CUST233,0,51,0,2,300,3
234,2023-11-20,CUST234,0,62,2,2,25,5
235,2023-01-31,CUST235,0,23,2,2,500,4
236,2023-04-28,CUST236,0,54,1,1,25,5
237,2023-02-04,CUST237,0,50,0,2,500,3
238,2023-01-17,CUST238,0,39,0,1,500,4
239,2023-06-19,CUST239,1,38,2,3,500,6
240,2023-02-06,CUST240,0,23,0,1,300,4
241,2023-09-21,CUST241,0,23,2,3,25,2
242,2023-05-02,CUST242,1,21,1,1,25,0
243,2023-05-23,CUST243,0,47,2,3,300,1
244,2023-12-09,CUST244,1,28,0,2,50,0
245,2023-09-06,CUST245,1,47,1,3,30,7
246,2023-04-20,CUST246,0,48,2,2,25,5
247,2023-10-04,CUST247,1,41,2,2,30,0
248,2023-03-09,CUST248,1,26,1,3,300,6
249,2023-10-20,CUST249,1,20,1,1,50,0
250,2023-10-23,CUST250,1,48,2,1,50,5
251,2023-08-31,CUST251,0,57,0,4,50,7
252,2023-05-05,CUST252,1,54,2,1,300,3
253,2023-08-31,CUST253,0,53,1,4,500,1
254,2023-07-28,CUST254,1,41,2,1,500,4
255,2023-04-08,CUST255,1,48,1,1,30,5
256,2023-02-18,CUST256,1,23,1,2,500,4
257,2023-02-19,CUST257,1,19,0,4,500,6
258,2023-12-04,CUST258,0,37,1,1,50,0
259,2023-08-09,CUST259,0,45,1,4,50,7
260,2023-07-01,CUST260,1,28,0,2,30,0
261,2023-08-05,CUST261,1,21,1,2,25,0
262,2023-07-30,CUST262,0,32,0,4,30,2
263,2023-08-28,CUST263,1,23,0,2,30,0
264,2023-01-28,CUST264,1,47,1,3,300,1
265,2023-12-11,CUST265,1,55,1,3,300,1
266,2023-12-01,CUST266,0,19,2,2,30,0
267,2023-11-27,CUST267,0,32,0,3,30,2
268,2023-02-20,CUST268,0,28,2,1,30,0
269,2023-02-01,CUST269,1,25,1,4,500,6
270,2023-07-26,CUST270,1,43,2,1,300,3
271,2023-06-23,CUST271,0,62,0,4,30,7
272,2023-02-25,CUST272,0,61,2,2,50,5
273,2023-05-08,CUST273,0,22,0,1,50,0
274,2023-04-09,CUST274,0,23,1,2,500,4
275,2023-04-08,CUST275,1,43,1,2,500,3
276,2023-10-02,CUST276,0,21,0,4,25,2
277,2023-08-18,CUST277,1,36,1,4,25,2
278,2023-03-13,CUST278,0,37,1,4,25,2
279,2023-08-05,CUST279,1,50,1,1,500,3
280,2023-04-04,CUST280,0,37,1,3,500,6
281,2023-05-23,CUST281,0,29,0,4,500,6
282,2023-08-25,CUST282,0,64,2,4,50,7
283,2023-05-08,CUST283,0,18,2,1,500,4
284,2023-02-08,CUST284,1,43,1,4,50,7
285,2023-08-15,CUST285,0,31,2,1,25,0
286,2023-10-09,CUST286,1,55,2,2,25,5
287,2023-02-20,CUST287,1,54,1,4,25,7
288,2023-01-26,CUST288,1,28,1,4,30,2
289,2023-11-30,CUST289,1,53,2,2,30,5
290,2023-10-04,CUST290,0,30,0,2,300,4
291,2023-01-08,CUST291,1,60,1,2,300,3
292,2023-02-17,CUST292,1,20,0,4,300,6
293,2023-05-02,CUST293,1,50,2,3,30,7
294,2023-03-27,CUST294,0,23,1,3,30,2
295,2023-07-28,CUST295,0,27,0,3,300,6
296,2023-09-06,CUST296,0,22,1,4,300,6
297,2023-09-04,CUST297,0,40,2,2,500,4
298,2023-04-20,CUST298,1,27,0,4,300,6
299,2023-07-25,CUST299,1,61,2,2,500,3
300,2023-01-31,CUST300,0,19,2,4,50,2
301,2023-03-26,CUST301,1,30,1,4,30,2
302,2023-07-14,CUST302,1,57,0,2,300,3
303,2023-01-02,CUST303,1,19,2,3,30,2
304,2023-07-19,CUST304,0,37,2,2,30,0
305,2023-05-16,CUST305,0,18,0,1,30,0
306,2023-08-21,CUST306,1,54,2,1,50,5
307,2023-05-27,CUST307,0,26,2,2,25,0
308,2023-08-05,CUST308,0,34,0,4,300,6
309,2023-12-23,CUST309,0,26,0,1,25,0
310,2023-10-12,CUST310,0,28,0,1,25,0
311,2023-12-05,CUST311,0,32,0,4,25,2
312,2023-09-07,CUST312,1,41,1,4,30,7
313,2023-03-21,CUST313,0,55,0,3,500,1
314,2023-04-08,CUST314,1,52,1,4,30,7
315,2023-06-01,CUST315,1,47,1,2,30,5
316,2023-04-22,CUST316,0,48,1,2,25,5
317,2023-01-30,CUST317,1,22,2,3,30,2
318,2023-10-24,CUST318,1,61,1,1,25,5
319,2023-10-05,CUST319,1,31,1,1,500,4
320,2023-02-01,CUST320,0,28,2,4,300,6
321,2023-06-10,CUST321,0,26,2,2,25,0
322,2023-01-30,CUST322,1,51,2,1,500,3
323,2023-01-26,CUST323,0,29,0,3,300,6
324,2023-10-27,CUST324,0,52,2,3,50,7
325,2023-09-02,CUST325,0,52,2,2,25,5
326,2023-09-15,CUST326,0,18,1,3,25,2
327,2023-09-29,CUST327,1,57,2,3,50,7
328,2023-03-22,CUST328,1,39,0,2,50,0
329,2023-01-30,CUST329,0,46,2,4,25,7
330,2023-09-18,CUST330,0,25,0,4,50,2
331,2023-02-11,CUST331,1,28,2,3,30,2
332,2023-04-06,CUST332,1,58,2,4,300,1
333,2023-02-05,CUST333,0,54,2,4,300,1
334,2023-11-01,CUST334,1,31,2,3,300,6
335,2023-02-04,CUST335,0,47,0,4,30,7
336,2023-12-12,CUST336,0,52,0,3,50,7
337,2023-05-01,CUST337,1,38,1,1,500,4
338,2023-07-26,CUST338,1,54,0,2,50,5
339,2023-03-03,CUST339,0,22,2,2,25,0
340,2023-10-19,CUST340,0,36,1,4,300,6
341,2023-05-07,CUST341,1,31,1,4,50,2
342,2023-10-24,CUST342,0,43,1,4,500,1
343,2023-11-01,CUST343,1,21,2,2,25,0
344,2023-01-21,CUST344,0,42,0,1,30,5
345,2023-11-14,CUST345,1,62,2,1,30,5
346,2023-02-11,CUST346,1,59,1,2,500,3
347,2023-08-03,CUST347,1,42,2,1,25,5
348,2023-12-03,CUST348,0,35,2,2,300,4
349,2023-10-26,CUST349,0,57,0,1,50,5
350,2023-10-17,CUST350,1,25,0,3,25,2
351,2023-09-25,CUST351,0,56,1,3,30,7
352,2023-06-11,CUST352,1,57,2,2,500,3
353,2023-05-14,CUST353,1,31,2,1,500,4
354,2023-04-15,CUST354,0,49,0,4,50,7
355,2023-12-09,CUST355,0,55,2,1,500,3
356,2023-06-10,CUST356,1,50,2,3,500,1
357,2023-05-03,CUST357,0,40,2,3,25,2
358,2023-05-16,CUST358,0,32,0,1,300,4
359,2023-07-22,CUST359,1,50,1,1,50,5
360,2023-03-09,CUST360,1,42,1,4,25,7
361,2023-12-10,CUST361,0,34,2,4,300,6
362,2023-11-27,CUST362,1,50,1,1,25,5
363,2023-06-03,CUST363,1,64,0,1,25,5
364,2023-08-23,CUST364,0,19,0,1,500,4
365,2023-06-11,CUST365,1,31,1,1,300,4
366,2023-02-07,CUST366,1,57,1,2,50,5
367,2023-01-05,CUST367,0,57,2,1,50,5
368,2023-08-23,CUST368,0,56,1,4,300,1
369,2023-11-15,CUST369,1,23,2,3,500,6
370,2023-10-16,CUST370,1,23,2,2,30,0
371,2023-02-21,CUST371,0,20,0,1,25,0
372,2023-02-07,CUST372,0,24,0,3,500,6
373,2023-10-03,CUST373,0,25,0,2,300,4
374,2023-04-20,CUST374,0,59,0,3,25,7
375,2023-09-17,CUST375,1,32,1,1,50,0
376,2023-05-16,CUST376,0,64,0,1,30,5
377,2023-03-09,CUST377,0,46,1,4,50,7
378,2023-06-28,CUST378,1,50,0,1,300,3
379,2023-02-05,CUST379,0,47,1,1,25,5
380,2023-05-06,CUST380,1,56,2,2,300,3
381,2023-07-09,CUST381,0,44,1,4,25,7
382,2023-05-26,CUST382,0,53,1,2,500,3
383,2023-03-22,CUST383,0,46,0,3,30,7
384,2023-08-13,CUST384,1,55,1,1,500,3
385,2023-10-06,CUST385,1,50,2,3,500,1
386,2023-12-27,CUST386,0,54,2,2,300,3
387,2023-06-04,CUST387,1,44,0,1,30,5
388,2023-11-10,CUST388,1,50,2,1,25,5
389,2023-12-01,CUST389,1,21,1,2,25,0
390,2023-09-28,CUST390,1,39,2,2,50,0
391,2023-01-05,CUST391,1,19,0,2,25,0
392,2023-12-08,CUST392,1,27,1,2,300,4
393,2023-10-11,CUST393,0,22,0,2,500,4
394,2023-06-03,CUST394,0,27,1,1,500,4
395,2023-12-06,CUST395,1,50,2,2,500,3
396,2023-02-23,CUST396,0,55,0,1,30,5
397,2023-03-10,CUST397,0,30,0,1,25,0
398,2023-05-16,CUST398,0,48,1,2,300,3
399,2023-03-01,CUST399,0,64,0,2,30,5
400,2023-02-24,CUST400,1,53,1,4,50,7
401,2023-10-11,CUST401,0,62,1,1,300,3
402,2023-03-21,CUST402,0,41,1,2,300,4
403,2023-05-20,CUST403,1,32,1,2,300,4
404,2023-05-25,CUST404,1,46,2,2,500,3
405,2023-11-06,CUST405,0,25,1,4,300,6
406,2023-04-18,CUST406,0,22,0,4,25,2
407,2023-06-25,CUST407,0,46,2,3,300,1
408,2023-04-15,CUST408,0,64,0,1,500,3
409,2023-12-18,CUST409,0,21,2,3,300,6
410,2023-11-21,CUST410,0,29,1,2,50,0
411,2023-05-16,CUST411,1,62,2,4,50,7
412,2023-09-16,CUST412,0,19,2,4,500,6
413,2023-09-08,CUST413,0,44,0,3,25,7
414,2023-05-09,CUST414,1,48,0,4,25,7
415,2023-01-27,CUST415,1,53,1,2,30,5
416,2023-02-17,CUST416,1,53,2,4,500,1
417,2023-11-21,CUST417,1,43,2,3,300,1
418,2023-08-05,CUST418,0,60,2,2,500,3
419,2023-05-22,CUST419,0,44,1,3,30,7
420,2023-01-23,CUST420,0,22,1,4,500,6
421,2023-01-02,CUST421,0,37,1,3,500,6
422,2023-06-20,CUST422,0,28,1,3,30,2
423,2023-03-08,CUST423,0,27,1,1,25,0
424,2023-11-23,CUST424,1,57,0,4,300,1
425,2023-05-15,CUST425,0,55,2,4,30,7
426,2023-03-24,CUST426,1,23,2,3,50,2
427,2023-08-15,CUST427,1,25,2,1,25,0
428,2023-10-10,CUST428,0,40,2,4,50,2
429,2023-12-28,CUST429,1,64,2,2,25,5
430,2023-08-07,CUST430,0,43,2,3,300,1
431,2023-10-15,CUST431,1,63,2,4,300,1
432,2023-01-05,CUST432,0,60,2,2,500,3
433,2023-02-27,CUST433,1,29,0,4,50,2
434,2023-02-08,CUST434,0,43,2,2,25,5
435,2023-12-20,CUST435,0,30,0,3,300,6
436,2023-03-18,CUST436,0,57,1,4,30,7
437,2023-10-07,CUST437,0,35,2,4,300,6
438,2023-01-19,CUST438,0,42,1,1,30,5
439,2023-07-09,CUST439,1,50,1,3,25,7
440,2023-10-26,CUST440,1,64,1,2,300,3
441,2023-10-10,CUST441,1,57,0,4,300,1
442,2023-03-17,CUST442,0,60,1,4,25,7
443,2023-08-09,CUST443,1,29,1,2,300,4
444,2023-03-07,CUST444,0,61,1,3,30,7
445,2023-01-22,CUST445,0,53,2,1,300,3
446,2023-06-07,CUST446,1,21,2,1,50,0
447,2023-07-06,CUST447,1,22,0,4,500,6
448,2023-01-21,CUST448,0,54,0,2,30,5
449,2023-07-03,CUST449,1,25,2,4,50,2
450,2023-04-18,CUST450,0,59,0,2,25,5
451,2023-12-16,CUST451,0,45,2,1,30,5
452,2023-05-08,CUST452,0,48,1,3,500,1
453,2023-12-08,CUST453,0,26,1,2,500,4
454,2023-02-22,CUST454,0,46,0,1,25,5
455,2023-07-01,CUST455,1,31,2,4,25,2
456,2023-10-14,CUST456,1,57,2,2,30,5
457,2023-07-28,CUST457,0,58,0,3,300,1
458,2023-11-14,CUST458,0,39,2,4,25,2
459,2023-03-21,CUST459,1,28,1,4,300,6
460,2023-05-02,CUST460,1,40,0,1,50,0
461,2023-03-25,CUST461,0,18,0,2,500,4
462,2023-04-01,CUST462,1,63,2,4,300,1
463,2023-07-31,CUST463,0,54,0,3,500,1
464,2023-01-13,CUST464,1,38,2,2,300,4
465,2023-04-02,CUST465,0,43,2,3,50,7
466,2023-06-20,CUST466,1,63,2,4,25,7
467,2023-07-30,CUST467,0,53,2,3,50,7
468,2023-12-09,CUST468,1,40,2,1,25,0
469,2023-05-08,CUST469,1,18,0,3,25,2
470,2023-05-17,CUST470,0,57,1,2,500,3
471,2023-03-23,CUST471,1,32,1,3,50,2
472,2023-12-26,CUST472,0,38,0,3,300,6
473,2023-02-25,CUST473,1,64,0,1,50,5
474,2023-07-15,CUST474,0,26,1,3,500,6
475,2023-01-20,CUST475,1,26,1,3,25,2
476,2023-08-29,CUST476,0,27,1,4,500,6
477,2023-04-24,CUST477,1,43,1,4,30,7
478,2023-04-13,CUST478,0,58,1,2,30,5
479,2023-08-24,CUST479,1,52,2,4,300,1
480,2023-06-29,CUST480,0,42,0,4,500,1
481,2023-06-06,CUST481,0,43,2,4,300,1
482,2023-04-27,CUST482,0,28,1,4,300,6
483,2023-04-25,CUST483,1,55,1,1,30,5
484,2023-01-13,CUST484,0,19,1,4,300,6
485,2023-12-04,CUST485,1,24,2,1,30,0
486,2023-04-09,CUST486,0,35,2,1,25,0
487,2023-07-24,CUST487,1,44,1,4,500,1
488,2023-06-18,CUST488,0,51,2,3,300,1
489,2023-05-23,CUST489,1,44,2,1,30,5
490,2023-02-05,CUST490,1,34,1,3,50,2
491,2023-05-23,CUST491,0,60,2,3,300,1
492,2023-06-29,CUST492,1,61,0,4,25,7
493,2023-11-25,CUST493,1,41,0,2,25,0
494,2023-09-18,CUST494,0,42,0,4,50,7
495,2023-07-24,CUST495,1,24,0,2,30,0
496,2023-12-14,CUST496,1,23,1,2,300,4
497,2023-10-02,CUST497,1,41,1,4,30,7
498,2023-06-19,CUST498,0,50,1,4,25,7
499,2023-01-15,CUST499,1,46,0,2,30,5
